dealer_id,dealer_name,dealer_type,parent_dealer_id,geo_id,city,state,pincode,email,phone,status,established_date
MDL0015,Manipur Regional Motors,Main,,STATE-015,Manipur,Manipur,HQ,regional.manipur@industrialfleet.in,9495616569,Active,1998-07-10
MDL0016,Meghalaya Regional Motors,Main,,STATE-016,Meghalaya,Meghalaya,HQ,regional.meghalaya@dealerhub.in,9895666072,Active,2016-05-03
MDL0017,Mizoram Regional Motors,Main,,STATE-017,Mizoram,Mizoram,HQ,regional.mizoram@dealerhub.in,9234085764,Active,2016-02-20
MDL0018,Nagaland Regional Motors,Main,,STATE-018,Nagaland,Nagaland,HQ,regional.nagaland@dealerhub.in,9586542051,Active,2001-08-12
MDL0019,Odisha Regional Motors,Main,,STATE-019,Odisha,Odisha,HQ,regional.odisha@industrialfleet.in,9882175901,Active,2005-09-10
MDL0020,Punjab Regional Motors,Main,,STATE-020,Punjab,Punjab,HQ,regional.punjab@oemmotors.in,9620446573,Active,2001-05-22
MDL0021,Rajasthan Regional Motors,Main,,STATE-021,Rajasthan,Rajasthan,HQ,regional.rajasthan@dealerhub.in,9814154389,Active,1998-11-01
MDL0022,Sikkim Regional Motors,Main,,STATE-022,Sikkim,Sikkim,HQ,regional.sikkim@oemmotors.in,9980623329,Active,2003-04-09
MDL0023,Tamil Nadu Regional Motors,Main,,STATE-023,Tamil Nadu,Tamil Nadu,HQ,regional.tamilnadu@dealerhub.in,9937797098,Active,2002-06-05
MDL0024,Telangana Regional Motors,Main,,STATE-024,Telangana,Telangana,HQ,regional.telangana@dealerhub.in,9823481178,Active,2019-09-24
MDL0025,Tripura Regional Motors,Main,,STATE-025,Tripura,Tripura,HQ,regional.tripura@industrialfleet.in,9910452220,Active,2019-04-17
MDL0026,Uttar Pradesh Regional Motors,Main,,STATE-026,Uttar Pradesh,Uttar Pradesh,HQ,regional.uttarpradesh@industrialfleet.in,9883571018,Active,1999-08-05
MDL0027,Uttarakhand Regional Motors,Main,,STATE-027,Uttarakhand,Uttarakhand,HQ,regional.uttarakhand@dealerhub.in,9701427477,Active,2008-09-07
MDL0028,West Bengal Regional Motors,Main,,STATE-028,West Bengal,West Bengal,HQ,regional.westbengal@industrialfleet.in,9988003907,Active,2006-09-14
MDL0029,Andaman and Nicobar Regional Motors,Main,,STATE-029,Andaman and Nicobar,Andaman and Nicobar,HQ,regional.andamanandnicobar@dealerhub.in,9466394138,Active,2018-09-15
MDL0030,Chandigarh Regional Motors,Main,,STATE-030,Chandigarh,Chandigarh,HQ,regional.chandigarh@dealerhub.in,9675335616,Active,2007-03-10
MDL0031,Dadra and Nagar Haveli and Daman and Diu Regional Motors,Main,,STATE-031,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,HQ,regional.dadraandnagarhavelianddamananddiu@oemmotors.in,9492152570,Active,2019-05-30
MDL0032,Jammu and Kashmir Regional Motors,Main,,STATE-032,Jammu and Kashmir,Jammu and Kashmir,HQ,regional.jammuandkashmir@oemmotors.in,9638416129,Active,2006-08-27
MDL0033,Ladakh Regional Motors,Main,,STATE-033,Ladakh,Ladakh,HQ,regional.ladakh@oemmotors.in,9620176873,Active,2006-09-02
MDL0034,Lakshadweep Regional Motors,Main,,STATE-034,Lakshadweep,Lakshadweep,HQ,regional.lakshadweep@oemmotors.in,9128814572,Active,2016-09-16
MDL0035,National Capital Territory of Delhi Regional Motors,Main,,STATE-035,National Capital Territory of Delhi,National Capital Territory of Delhi,HQ,regional.nationalcapitalterritoryofdelhi@dealerhub.in,9270664529,Active,2014-02-08
MDL0036,Puducherry Regional Motors,Main,,STATE-036,Puducherry,Puducherry,HQ,regional.puducherry@industrialfleet.in,9632587508,Active,1998-01-24
BRN00001,Alluri Sitharama Raju District Motors,Branch,MDL0001,1,Paderu,Andhra Pradesh,531024.0,allurisitharamaraju@oemmotors.in,8175287164,Active,2017-10-26
BRN00002,Anakapalli District Motors,Branch,MDL0001,2,Anakapalli,Andhra Pradesh,531001.0,anakapalli@industrialfleet.in,8442138332,Active,2009-01-20
BRN00003,Ananthapuramu District Motors,Branch,MDL0001,3,Ananthapuramu,Andhra Pradesh,515001.0,ananthapuramu@industrialfleet.in,8282634729,Active,2023-09-13
BRN00004,Annamayya District Motors,Branch,MDL0001,4,Rayachoti,Andhra Pradesh,516269.0,annamayya@oemmotors.in,8472173325,Active,2010-07-07
BRN00005,Bapatla District Motors,Branch,MDL0001,5,Bapatla,Andhra Pradesh,522101.0,bapatla@dealerhub.in,8281132098,Active,2023-04-02
BRN00006,Chittoor District Motors,Branch,MDL0001,6,Chittoor,Andhra Pradesh,517001.0,chittoor@dealerhub.in,8934317354,Inactive,2013-05-29
BRN00007,Dr. B.R. Ambedkar Konaseema District Motors,Branch,MDL0001,7,Amalapuram,Andhra Pradesh,533201.0,dr.b.r.ambedkarkonaseema@dealerhub.in,8833743404,Active,2020-02-28
BRN00008,East Godavari District Motors,Branch,MDL0001,8,Rajamahendravaram,Andhra Pradesh,533101.0,eastgodavari@industrialfleet.in,8806500900,Active,2014-02-17
BRN00009,Eluru District Motors,Branch,MDL0001,9,Eluru,Andhra Pradesh,534001.0,eluru@dealerhub.in,8896566943,Active,2012-10-10
BRN00010,Guntur District Motors,Branch,MDL0001,10,Guntur,Andhra Pradesh,522001.0,guntur@oemmotors.in,8643457147,Inactive,2019-12-17
BRN00011,Kakinada District Motors,Branch,MDL0001,11,Kakinada,Andhra Pradesh,533001.0,kakinada@dealerhub.in,8364003058,Active,2017-08-08
BRN00012,Krishna District Motors,Branch,MDL0001,12,Machilipatnam,Andhra Pradesh,521001.0,krishna@dealerhub.in,8571623213,Inactive,2022-05-11
BRN00013,Kurnool District Motors,Branch,MDL0001,13,Kurnool,Andhra Pradesh,518001.0,kurnool@industrialfleet.in,8618802978,Active,2023-10-10
BRN00014,Nandyal District Motors,Branch,MDL0001,14,Nandyal,Andhra Pradesh,518502.0,nandyal@oemmotors.in,8156021001,Active,2019-10-08
BRN00015,NTR District Motors,Branch,MDL0001,15,Vijayawada,Andhra Pradesh,520001.0,ntr@oemmotors.in,8137324839,Inactive,2010-07-30
BRN00016,Palnadu District Motors,Branch,MDL0001,16,Narasaraopet,Andhra Pradesh,522601.0,palnadu@dealerhub.in,8523618294,Active,2012-08-01
BRN00017,Parvathipuram Manyam District Motors,Branch,MDL0001,17,Parvathipuram,Andhra Pradesh,535501.0,parvathipurammanyam@industrialfleet.in,8256889416,Active,2021-09-23
BRN00018,Prakasam District Motors,Branch,MDL0001,18,Ongole,Andhra Pradesh,523001.0,prakasam@industrialfleet.in,8614293552,Active,2010-08-29
BRN00019,Srikakulam District Motors,Branch,MDL0001,19,Srikakulam,Andhra Pradesh,532001.0,srikakulam@dealerhub.in,8798200976,Inactive,2005-08-20
BRN00020,Sri Potti Sriramulu Nellore District Motors,Branch,MDL0001,20,Nellore,Andhra Pradesh,524001.0,sripottisriramulunellore@dealerhub.in,8492693990,Active,2013-04-09
BRN00021,Sri Sathya Sai District Motors,Branch,MDL0001,21,Puttaparthi,Andhra Pradesh,515134.0,srisathyasai@industrialfleet.in,8929748303,Inactive,2015-11-13
BRN00022,Tirupati District Motors,Branch,MDL0001,22,Tirupati,Andhra Pradesh,517501.0,tirupati@industrialfleet.in,8612012856,Active,2008-02-12
BRN00023,Visakhapatnam District Motors,Branch,MDL0001,23,Visakhapatnam,Andhra Pradesh,530001.0,visakhapatnam@industrialfleet.in,8731803080,Active,2008-02-16
BRN00024,Vizianagaram District Motors,Branch,MDL0001,24,Vizianagaram,Andhra Pradesh,535001.0,vizianagaram@industrialfleet.in,8110988195,Inactive,2020-05-15
BRN00025,West Godavari District Motors,Branch,MDL0001,25,Bhimavaram,Andhra Pradesh,534201.0,westgodavari@dealerhub.in,8868463742,Active,2010-12-07
BRN00026,YSR District Motors,Branch,MDL0001,26,Kadapa,Andhra Pradesh,516001.0,ysr@industrialfleet.in,8450222006,Active,2024-02-07
BRN00027,Anjaw District Motors,Branch,MDL0002,27,Hawai,Arunachal Pradesh,nan,anjaw@industrialfleet.in,8552152341,Active,2020-04-28
BRN00028,Changlang District Motors,Branch,MDL0002,28,Changlang,Arunachal Pradesh,nan,changlang@oemmotors.in,8907063730,Active,2007-12-30
BRN00029,East Kameng District Motors,Branch,MDL0002,29,Seppa,Arunachal Pradesh,nan,eastkameng@dealerhub.in,8201832737,Inactive,2007-02-09
BRN00030,East Siang District Motors,Branch,MDL0002,30,Pasighat,Arunachal Pradesh,nan,eastsiang@dealerhub.in,8127183925,Inactive,2022-08-20
BRN00031,Itanagar capital complex District Motors,Branch,MDL0002,31,Itanagar,Arunachal Pradesh,791111.0,itanagarcapitalcomplex@dealerhub.in,8177190890,Active,2019-09-13
BRN00032,Kamle District Motors,Branch,MDL0002,32,Raga,Arunachal Pradesh,nan,kamle@oemmotors.in,8235858450,Active,2017-01-30
BRN00033,Kra Daadi District Motors,Branch,MDL0002,33,Palin,Arunachal Pradesh,nan,kradaadi@oemmotors.in,8525503794,Inactive,2009-12-05
BRN00034,Kurung Kumey District Motors,Branch,MDL0002,34,Koloriang,Arunachal Pradesh,nan,kurungkumey@industrialfleet.in,8278327525,Active,2009-02-15
BRN00035,Lepa Rada District Motors,Branch,MDL0002,35,Basar,Arunachal Pradesh,nan,leparada@oemmotors.in,8316488814,Active,2018-07-19
BRN00036,Lohit District Motors,Branch,MDL0002,36,Tezu,Arunachal Pradesh,nan,lohit@industrialfleet.in,8642110471,Active,2022-09-26
BRN00037,Longding District Motors,Branch,MDL0002,37,Longding,Arunachal Pradesh,nan,longding@dealerhub.in,8516233908,Inactive,2006-06-05
BRN00038,Lower Dibang Valley District Motors,Branch,MDL0002,38,Roing,Arunachal Pradesh,nan,lowerdibangvalley@oemmotors.in,8920252952,Active,2024-03-01
BRN00039,Lower Siang District Motors,Branch,MDL0002,39,Likabali,Arunachal Pradesh,nan,lowersiang@industrialfleet.in,8350522611,Active,2020-08-17
BRN00040,Lower Subansiri District Motors,Branch,MDL0002,40,Ziro,Arunachal Pradesh,nan,lowersubansiri@industrialfleet.in,8436743989,Active,2010-06-28
BRN00041,Namsai District Motors,Branch,MDL0002,41,Namsai,Arunachal Pradesh,nan,namsai@oemmotors.in,8267689993,Active,2021-04-15
BRN00042,Pakke-Kessang District Motors,Branch,MDL0002,42,Lemmi,Arunachal Pradesh,nan,pakke-kessang@oemmotors.in,8977893684,Inactive,2017-11-07
BRN00043,Papum Pare District Motors,Branch,MDL0002,43,Yupia,Arunachal Pradesh,nan,papumpare@dealerhub.in,8685638348,Active,2016-05-26
BRN00044,Shi Yomi District Motors,Branch,MDL0002,44,Tato,Arunachal Pradesh,nan,shiyomi@industrialfleet.in,8888741342,Active,2016-08-05
BRN00045,Siang District Motors,Branch,MDL0002,45,Boleng,Arunachal Pradesh,nan,siang@oemmotors.in,8413123068,Active,2006-06-07
BRN00046,Tawang District Motors,Branch,MDL0002,46,Tawang,Arunachal Pradesh,nan,tawang@industrialfleet.in,8974764925,Active,2009-07-08
BRN00047,Tirap District Motors,Branch,MDL0002,47,Khonsa,Arunachal Pradesh,nan,tirap@oemmotors.in,8170131358,Active,2019-10-05
BRN00048,Upper Dibang Valley District Motors,Branch,MDL0002,48,Anini,Arunachal Pradesh,nan,upperdibangvalley@oemmotors.in,8215541254,Active,2019-08-14
BRN00049,Upper Siang District Motors,Branch,MDL0002,49,Yingkiong,Arunachal Pradesh,nan,uppersiang@dealerhub.in,8772749810,Inactive,2016-04-30
BRN00050,Upper Subansiri District Motors,Branch,MDL0002,50,Daporijo,Arunachal Pradesh,nan,uppersubansiri@industrialfleet.in,8121237758,Inactive,2015-07-25
BRN00051,West Kameng District Motors,Branch,MDL0002,51,Bomdila,Arunachal Pradesh,nan,westkameng@industrialfleet.in,8650837021,Inactive,2014-01-03
BRN00052,West Siang District Motors,Branch,MDL0002,52,Aalo,Arunachal Pradesh,nan,westsiang@dealerhub.in,8342113676,Active,2006-02-04
BRN00053,Baksa District Motors,Branch,MDL0003,53,Mushalpur,Assam,781372.0,baksa@industrialfleet.in,8565913638,Active,2010-07-17
BRN00054,Barpeta District Motors,Branch,MDL0003,54,Barpeta,Assam,781301.0,barpeta@oemmotors.in,8856106687,Inactive,2021-03-27
BRN00055,Bongaigaon District Motors,Branch,MDL0003,55,Bongaigaon,Assam,783380.0,bongaigaon@oemmotors.in,8589617835,Active,2013-12-13
BRN00056,Cachar District Motors,Branch,MDL0003,56,Silchar,Assam,788001.0,cachar@oemmotors.in,8451649239,Inactive,2010-02-10
BRN00057,Charaideo District Motors,Branch,MDL0003,57,Sonari,Assam,nan,charaideo@industrialfleet.in,8802586382,Active,2005-11-03
BRN00058,Chirang District Motors,Branch,MDL0003,58,Kajalgaon,Assam,nan,chirang@oemmotors.in,8285593786,Inactive,2013-05-14
BRN00059,Darrang District Motors,Branch,MDL0003,59,Mangaldoi,Assam,784125.0,darrang@industrialfleet.in,8749174604,Active,2022-06-26
BRN00060,Dhemaji District Motors,Branch,MDL0003,60,Dhemaji,Assam,787057.0,dhemaji@oemmotors.in,8773029576,Active,2010-07-03
BRN00061,Dhubri District Motors,Branch,MDL0003,61,Dhubri,Assam,783301.0,dhubri@oemmotors.in,8635452974,Inactive,2011-11-12
BRN00062,Dibrugarh District Motors,Branch,MDL0003,62,Dibrugarh,Assam,786001.0,dibrugarh@industrialfleet.in,8510007760,Active,2008-08-19
BRN00063,Dima Hasao District Motors,Branch,MDL0003,63,Haflong,Assam,788819.0,dimahasao@oemmotors.in,8316934731,Active,2013-10-10
BRN00064,Goalpara District Motors,Branch,MDL0003,64,Goalpara,Assam,783101.0,goalpara@industrialfleet.in,8256145180,Active,2017-05-30
BRN00065,Golaghat District Motors,Branch,MDL0003,65,Golaghat,Assam,785621.0,golaghat@dealerhub.in,8185380470,Active,2018-11-27
BRN00066,Hailakandi District Motors,Branch,MDL0003,66,Hailakandi,Assam,788151.0,hailakandi@oemmotors.in,8897098141,Inactive,2007-06-06
BRN00067,Jorhat District Motors,Branch,MDL0003,67,Jorhat,Assam,785001.0,jorhat@dealerhub.in,8855860977,Inactive,2009-08-14
BRN00068,Kamrup District Motors,Branch,MDL0003,68,Amingaon,Assam,781031.0,kamrup@industrialfleet.in,8460018913,Active,2019-05-23
BRN00069,Kamrup Metropolitan District Motors,Branch,MDL0003,69,Guwahati,Assam,781001.0,kamrupmetropolitan@industrialfleet.in,8831895849,Active,2010-11-08
BRN00070,Karbi Anglong District Motors,Branch,MDL0003,70,Diphu,Assam,782460.0,karbianglong@dealerhub.in,8130699121,Active,2016-07-18
BRN00071,Karimganj District Motors,Branch,MDL0003,71,Karimganj,Assam,788711.0,karimganj@oemmotors.in,8264719876,Active,2010-05-07
BRN00072,Kokrajhar District Motors,Branch,MDL0003,72,Kokrajhar,Assam,783370.0,kokrajhar@industrialfleet.in,8838911213,Active,2021-01-24
BRN00073,Lakhimpur District Motors,Branch,MDL0003,73,North Lakhimpur,Assam,787001.0,lakhimpur@oemmotors.in,8268753180,Inactive,2015-06-23
BRN00074,Majuli District Motors,Branch,MDL0003,74,Garamur,Assam,785105.0,majuli@oemmotors.in,8569097399,Inactive,2018-11-04
BRN00075,Morigaon District Motors,Branch,MDL0003,75,Marigaon,Assam,782105.0,morigaon@industrialfleet.in,8401321408,Active,2019-12-23
BRN00076,Nagaon District Motors,Branch,MDL0003,76,Nagaon,Assam,782001.0,nagaon@oemmotors.in,8767557046,Active,2007-03-22
BRN00077,Nalbari District Motors,Branch,MDL0003,77,Nalbari,Assam,781335.0,nalbari@dealerhub.in,8331057816,Active,2012-11-12
BRN00078,Sivasagar District Motors,Branch,MDL0003,78,Sibsagar,Assam,785640.0,sivasagar@industrialfleet.in,8856557417,Active,2005-06-05
BRN00079,Sonitpur District Motors,Branch,MDL0003,79,Tezpur,Assam,784001.0,sonitpur@dealerhub.in,8638161588,Active,2013-12-06
BRN00080,South Salmara Mankachar District Motors,Branch,MDL0003,80,Hatsingimari,Assam,783135.0,southsalmaramankachar@industrialfleet.in,8573773580,Inactive,2010-05-22
BRN00081,Tinsukia District Motors,Branch,MDL0003,81,Tinsukia,Assam,786125.0,tinsukia@dealerhub.in,8684549967,Active,2007-02-14
BRN00082,Udalguri District Motors,Branch,MDL0003,82,Udalguri,Assam,nan,udalguri@oemmotors.in,8304335997,Inactive,2013-04-24
BRN00083,West Karbi Anglong District Motors,Branch,MDL0003,83,Hamren,Assam,782462.0,westkarbianglong@dealerhub.in,8497331920,Active,2008-01-11
BRN00084,Araria District Motors,Branch,MDL0004,84,Araria,Bihar,854311.0,araria@industrialfleet.in,8950096574,Inactive,2016-11-15
BRN00085,Arwal District Motors,Branch,MDL0004,85,Arwal,Bihar,804421.0,arwal@dealerhub.in,8431403945,Active,2014-05-11
BRN00086,Aurangabad District Motors,Branch,MDL0004,86,Aurangabad,Bihar,431001.0,aurangabad@oemmotors.in,8692596600,Active,2010-01-19
BRN00087,Banka District Motors,Branch,MDL0004,87,Banka,Bihar,813102.0,banka@industrialfleet.in,8961542283,Inactive,2022-10-04
BRN00088,Begusarai District Motors,Branch,MDL0004,88,Begusarai,Bihar,851101.0,begusarai@dealerhub.in,8807288177,Active,2006-10-21
BRN00089,Bhagalpur District Motors,Branch,MDL0004,89,Bhagalpur,Bihar,812001.0,bhagalpur@oemmotors.in,8994122567,Active,2008-05-31
BRN00090,Bhojpur District Motors,Branch,MDL0004,90,Arrah,Bihar,802301.0,bhojpur@dealerhub.in,8634031775,Inactive,2015-07-27
BRN00091,Buxar District Motors,Branch,MDL0004,91,Buxar,Bihar,802101.0,buxar@industrialfleet.in,8959114899,Active,2008-06-04
BRN00092,Darbhanga District Motors,Branch,MDL0004,92,Darbhanga,Bihar,846001.0,darbhanga@oemmotors.in,8264788341,Active,2011-06-18
BRN00093,East Champaran District Motors,Branch,MDL0004,93,Motihari,Bihar,845401.0,eastchamparan@oemmotors.in,8787165230,Active,2023-02-06
BRN00094,Gaya District Motors,Branch,MDL0004,94,Gaya,Bihar,823001.0,gaya@dealerhub.in,8817453538,Active,2009-03-07
BRN00095,Gopalganj District Motors,Branch,MDL0004,95,Gopalganj,Bihar,841428.0,gopalganj@industrialfleet.in,8205390784,Active,2013-01-29
BRN00096,Jamui District Motors,Branch,MDL0004,96,Jamui,Bihar,811307.0,jamui@oemmotors.in,8478355617,Active,2008-08-20
BRN00097,Jehanabad District Motors,Branch,MDL0004,97,Jehanabad,Bihar,804408.0,jehanabad@dealerhub.in,8728439237,Inactive,2011-03-05
BRN00098,Kaimur District Motors,Branch,MDL0004,98,Bhabua,Bihar,821101.0,kaimur@industrialfleet.in,8947488814,Inactive,2008-07-19
BRN00099,Katihar District Motors,Branch,MDL0004,99,Katihar,Bihar,854105.0,katihar@dealerhub.in,8211786155,Active,2013-01-16
BRN00100,Khagaria District Motors,Branch,MDL0004,100,Khagaria,Bihar,851204.0,khagaria@industrialfleet.in,8368904257,Inactive,2009-06-18
BRN00101,Kishanganj District Motors,Branch,MDL0004,101,Kishanganj,Bihar,855107.0,kishanganj@industrialfleet.in,8307806260,Inactive,2006-10-04
BRN00102,Lakhisarai District Motors,Branch,MDL0004,102,Lakhisarai,Bihar,811311.0,lakhisarai@oemmotors.in,8988280619,Active,2009-10-17
BRN00103,Madhepura District Motors,Branch,MDL0004,103,Madhepura,Bihar,852113.0,madhepura@industrialfleet.in,8143462709,Active,2018-08-10
BRN00104,Madhubani District Motors,Branch,MDL0004,104,Madhubani,Bihar,847211.0,madhubani@industrialfleet.in,8779682879,Active,2005-06-22
BRN00105,Munger District Motors,Branch,MDL0004,105,Munger,Bihar,811201.0,munger@industrialfleet.in,8495667891,Inactive,2015-09-25
BRN00106,Muzaffarpur District Motors,Branch,MDL0004,106,Muzaffarpur,Bihar,842001.0,muzaffarpur@dealerhub.in,8574043585,Active,2011-04-10
BRN00107,Nalanda District Motors,Branch,MDL0004,107,Bihar Sharif,Bihar,803101.0,nalanda@industrialfleet.in,8159765149,Active,2020-04-10
BRN00108,Nawada District Motors,Branch,MDL0004,108,Nawada,Bihar,805110.0,nawada@industrialfleet.in,8761408198,Active,2011-12-19
BRN00109,Patna District Motors,Branch,MDL0004,109,Patna,Bihar,800001.0,patna@oemmotors.in,8325646226,Inactive,2020-08-17
BRN00110,Purnia District Motors,Branch,MDL0004,110,Purnia,Bihar,854301.0,purnia@oemmotors.in,8112074564,Active,2008-11-21
BRN00111,Rohtas District Motors,Branch,MDL0004,111,Sasaram,Bihar,821115.0,rohtas@industrialfleet.in,8384719165,Active,2021-12-13
BRN00112,Saharsa District Motors,Branch,MDL0004,112,Saharsa,Bihar,852201.0,saharsa@oemmotors.in,8794560523,Active,2009-02-02
BRN00113,Samastipur District Motors,Branch,MDL0004,113,Samastipur,Bihar,848101.0,samastipur@industrialfleet.in,8637413093,Inactive,2009-08-22
BRN00114,Saran District Motors,Branch,MDL0004,114,Chhapra,Bihar,841301.0,saran@dealerhub.in,8652613872,Active,2022-05-25
BRN00115,Sheikhpura District Motors,Branch,MDL0004,115,Sheikhpura,Bihar,811105.0,sheikhpura@oemmotors.in,8894527996,Active,2006-11-10
BRN00116,Sheohar District Motors,Branch,MDL0004,116,Sheohar,Bihar,843329.0,sheohar@dealerhub.in,8535481910,Active,2012-11-22
BRN00117,Sitamarhi District Motors,Branch,MDL0004,117,Sitamarhi,Bihar,843302.0,sitamarhi@industrialfleet.in,8821412797,Active,2017-11-07
BRN00118,Siwan District Motors,Branch,MDL0004,118,Siwan,Bihar,841226.0,siwan@dealerhub.in,8128989763,Inactive,2018-01-07
BRN00119,Supaul District Motors,Branch,MDL0004,119,Supaul,Bihar,852131.0,supaul@dealerhub.in,8814510329,Active,2021-08-21
BRN00120,Vaishali District Motors,Branch,MDL0004,120,Hajipur,Bihar,844101.0,vaishali@dealerhub.in,8328359259,Active,2016-07-12
BRN00121,West Champaran District Motors,Branch,MDL0004,121,Bettiah,Bihar,845438.0,westchamparan@oemmotors.in,8231906374,Active,2010-05-21
BRN00122,Balod District Motors,Branch,MDL0005,122,Balod,Chhattisgarh,nan,balod@industrialfleet.in,8555545065,Inactive,2022-04-17
BRN00123,Baloda Bazar District Motors,Branch,MDL0005,123,Baloda Bazar,Chhattisgarh,nan,balodabazar@oemmotors.in,8906788229,Active,2019-08-07
BRN00124,Balrampur-Ramanujganj District Motors,Branch,MDL0005,124,Balrampur,Chhattisgarh,271201.0,balrampur-ramanujganj@dealerhub.in,8371604801,Active,2014-08-25
BRN00125,Bastar District Motors,Branch,MDL0005,125,Jagdalpur,Chhattisgarh,nan,bastar@oemmotors.in,8338652229,Inactive,2015-09-15
BRN00126,Bemetara District Motors,Branch,MDL0005,126,Bemetara,Chhattisgarh,nan,bemetara@oemmotors.in,8143491488,Inactive,2009-08-14
BRN00127,Bijapur District Motors,Branch,MDL0005,127,Bijapur,Chhattisgarh,nan,bijapur@dealerhub.in,8947369796,Active,2018-02-26
BRN00128,Bilaspur District Motors,Branch,MDL0005,128,Bilaspur,Chhattisgarh,nan,bilaspur@oemmotors.in,8961948745,Active,2021-07-09
BRN00129,Dantewada District Motors,Branch,MDL0005,129,Dantewada,Chhattisgarh,nan,dantewada@dealerhub.in,8884727680,Active,2008-07-22
BRN00130,Dhamtari District Motors,Branch,MDL0005,130,Dhamtari,Chhattisgarh,nan,dhamtari@oemmotors.in,8252788488,Inactive,2005-09-26
BRN00131,Durg District Motors,Branch,MDL0005,131,Durg,Chhattisgarh,nan,durg@dealerhub.in,8934904252,Active,2017-12-06
BRN00132,Gariaband District Motors,Branch,MDL0005,132,Gariaband,Chhattisgarh,nan,gariaband@oemmotors.in,8311450847,Inactive,2010-02-05
BRN00133,Gaurela-Pendra-Marwahi District Motors,Branch,MDL0005,133,Gaurela,Chhattisgarh,nan,gaurela-pendra-marwahi@industrialfleet.in,8694139774,Inactive,2020-02-03
BRN00134,Janjgir-Champa District Motors,Branch,MDL0005,134,Janjgir,Chhattisgarh,nan,janjgir-champa@dealerhub.in,8129085409,Active,2023-07-15
BRN00135,Jashpur District Motors,Branch,MDL0005,135,Jashpur Nagar,Chhattisgarh,nan,jashpur@dealerhub.in,8636692996,Active,2015-05-09
BRN00136,Kabirdham District Motors,Branch,MDL0005,136,Kawardha,Chhattisgarh,nan,kabirdham@oemmotors.in,8518170779,Inactive,2018-06-04
BRN00137,Kanker District Motors,Branch,MDL0005,137,Kanker,Chhattisgarh,nan,kanker@industrialfleet.in,8844140171,Active,2010-10-03
BRN00138,Khairagarh-Chhuikhadan-Gandai District Motors,Branch,MDL0005,138,Khairagarh,Chhattisgarh,nan,khairagarh-chhuikhadan-gandai@dealerhub.in,8502562079,Active,2021-06-21
BRN00139,Kondagaon District Motors,Branch,MDL0005,139,Kondagaon,Chhattisgarh,nan,kondagaon@oemmotors.in,8951390643,Active,2009-06-17
BRN00140,Korba District Motors,Branch,MDL0005,140,Korba,Chhattisgarh,nan,korba@industrialfleet.in,8457764289,Active,2021-09-25
BRN00141,Korea District Motors,Branch,MDL0005,141,Baikunthpur,Chhattisgarh,nan,korea@oemmotors.in,8367051490,Active,2008-04-12
BRN00142,Mahasamund District Motors,Branch,MDL0005,142,Mahasamund,Chhattisgarh,nan,mahasamund@oemmotors.in,8211906631,Active,2019-06-28
